display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity,first_exposed_unix_time,last_spend_unix_time
13Df4x5nQo7boLWHxQCbJzobN5gUNT65Hh,"{ ""P2PKH"" : 9783154870760 }",active,26,273121,290238,,unidentified,1386211826,1394647626
1GLEtzJ1H2zoGrUA4RMbRJam5UJSdrk6T2,"{ ""P2PKH"" : 5388005311692 }",inactive,27,219026,219029,,unidentified,1359693053,1359698688
16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,"{ ""P2PKH"" : 5300005354694 }",inactive,29,130794,179961,,Roger Ver,1308072576,1336911196
1QAHVyRzkmD4j1pU5W89htZ3c6D6E7iWDs,"{ ""P2PKH"" : 4076957869892 }",active,189,188036,299905,,unidentified,1341708500,1399658434
14o7zMMUJkG6De24r3JkJ6USgChq7iWF86,"{ ""P2PKH"" : 3800000000000 }",active,76,242820,299788,,Just-Dice,1371927495,1399593681
15h6A2a3D31vRviBDdSpvhLtYJq3aePhdW,"{ ""P2PKH"" : 3693685523247 }",active,74,228261,292350,,unidentified,1364398457,1395717568
13ssxUjmQqemuiBfJSBsr7gFX7UWU7uXNK,"{ ""P2PKH"" : 3487963445464 }",active,3,274359,296012,,unidentified,1386782208,1397575687
159SCycgn8weAy2XGUEhD6V1RTFni7E3iq,"{ ""P2PKH"" : 3440936701748 }",active,26,229537,255964,,unidentified,1365021473,1378242226
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100005090116 }",inactive,20,55632,70071,,unidentified,1273738958,1280014523
12WFth5HabiVrcj5waHtDP1b7gXSQPuDPz,"{ ""P2PKH"" : 2500912007083 }",active,7,273392,290404,,unidentified,1386338268,1394731183
1Gnhy34EBtz9ftQdGZooGTpVE6E9wL2VZN,"{ ""P2PKH"" : 2174400809400 }",active,5,275880,279707,,unidentified,1387473419,1389366499
12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,"{ ""P2PKH"" : 2084417849403 }",active,11,100714,256499,,unidentified,1293985498,1378502317
1CKj4qnwmQWsp73rYCZc6cRyyWSz8fheNv,"{ ""P2PKH"" : 2066876287132 }",active,6,254981,296440,,Bitstamp,1377838707,1397809014
1B9KrM7bjhJ42qJSWr1KJrNTAP1SNGMpJu,"{ ""P2PKH"" : 2000000168449 }",active,9,274003,289396,,unidentified,1386610580,1394215093
12MHLS1exdEzr3kDvgGLsnht9vdqscd5yy,"{ ""P2PKH"" : 1922690005500 }",active,2,280850,288637,,unidentified,1389891300,1393790687
1GBospM4VzVx7JZDw4Fmeh59qbXG3LtsEy,"{ ""P2PKH"" : 1470000982800 }",active,18,269758,284044,,unidentified,1384529750,1391481288
19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,"{ ""P2PKH"" : 1428687819402 }",inactive,29,69804,191997,,unidentified,1279890272,1343930815
12tT4cSjRRsncwwv1YUKnbXuouaMfT5DnN,"{ ""P2PKH"" : 1403387793402 }",active,19,212604,288309,,Roger Ver,1355805085,1393601896
1CYn5ryt2MDMchfze8Y36kngKHek5kNrot,"{ ""P2PKH"" : 1386337288413 }",active,2,299573,299975,,unidentified,1399481684,1399690279
1KX8EPDcziwbGaC7oDHDuKE9SfLWMmmbZy,"{ ""P2PKH"" : 1370000818402 }",active,16,109344,299420,,unidentified,1298226504,1399399358
1QB8Ds5KbGYBLQa5RyDQ2sVUeSKWf7qgkZ,"{ ""P2PKH"" : 1369054841421 }",active,9032,279142,298288,,Bitmain,1389114943,1398773331
1HktZquxWcseRTkkSTPWSVtL2Cfdhus2sj,"{ ""P2PKH"" : 1250000892501 }",inactive,7,215115,230647,,unidentified,1357305233,1365597705
17Jj4eNGBUEdBJEorViEieZ8W87ELXKgu7,"{ ""P2PKH"" : 1203915694228 }",inactive,7,223246,223253,,unidentified,1361902287,1361903425
19tuxqhzgwC6B9hhLHDLJkocx8LaaCS56s,"{ ""P2PKH"" : 1200000929402 }",active,16,135120,288309,,Roger Ver,1310015916,1393601896
13Q892Z2WadxMwQtGVe2e6tJAPeR1g7rUB,"{ ""P2PKH"" : 1200000792500 }",active,4,278340,282755,,unidentified,1388711542,1390849762
1UaizTd5Wy3p7pLiEfo9yfVS7LnN8D58W,"{ ""P2PKH"" : 1188999737147 }",active,351,266850,299264,,unidentified,1383120303,1399330753
1CjPR7Z5ZSyWk6WtXvSFgkptmpoi4UM9BC,"{ ""P2PKH"" : 1172105409984 }",active,468,245095,299841,,Miner,1373117018,1399622572
17UUsmejDsjJEtbRcotd289ADp7ZdanH5k,"{ ""P2PKH"" : 1141748385901 }",active,41,213406,287716,,unidentified,1356334122,1393317551
1Jd5HDN68UQB2WT3F1vvufoXgDis6t4Gxk,"{ ""P2PKH"" : 1118117112501 }",active,19,254370,284040,,unidentified,1377546181,1391478899
1FfdcppWbJ7FeQFznsjdLYNXdwMdoiTGSA,"{ ""P2PKH"" : 1068201781700 }",active,56,223645,274409,,unidentified,1362084900,1386808958
1BnkEt2ceoVhnQVrqeAzigcroQ6MVyxFey,"{ ""P2PKH"" : 1042867765014 }",active,49,227937,268626,,unidentified,1364200450,1383973929
1HiLGVR7T8siQVs4X5hSdWx15C5mW2JtSm,"{ ""P2PKH"" : 1008427672500 }",active,6,282188,293561,,unidentified,1390545701,1396345936
