group_id,display_group_ids,script_types,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,exposed_supply_sats,first_exposed_blockheight,first_exposed_time,last_spend_blockheight,last_spend_time,details,identity,first_exposed_unix_time,last_spend_unix_time
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,P2SH,"{ ""P2SH"" : 24859758242645 }",inactive,5054,24859758242645,546288,1539867558,770774,1673072134,None,Binance,1539867558,1673072134
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,P2SH,"{ ""P2SH"" : 15125936506978 }",active,190,15125936506978,549926,1542118262,942176,1774455689,None,Binance,1542118262,1774455689
fd4a46f4339753fa2d58094400c9d9d05a8d9885,bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,P2WPKH,"{ ""P2WPKH"" : 14057482654100 }",active,70,14057482654100,788818,1683571340,939430,1772722036,,Robinhood,1683571340,1772722036
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,P2WSH,"{ ""P2WSH"" : 13001007898624 }",active,44,13001007898624,590368,1565949629,899592,1748919979,3-of-5 multisig,Bitfinex,1565949629,1748919979
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,P2WSH,"{ ""P2WSH"" : 9618935693433 }",active,14,9618935693433,756361,1664538639,933503,1769160361,3-of-5 multisig,Tether,1664538639,1769160361
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,P2WSH,"{ ""P2WSH"" : 9185011288744 }",active,15,9185011288744,704522,1633955955,933503,1769160361,3-of-5 multisig,Bitfinex,1633955955,1769160361
6d57097a904ea9a39337d44d0254a9a36bff0f9d,1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,P2PKH,"{ ""P2PKH"" : 7109170527606 }",active,1548,7109170527606,761374,1667371537,944972,1776135595,,Upbit,1667371537,1776135595
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,P2SH,"{ ""P2SH"" : 6820000679813 }",inactive,99,6820000679813,581111,1560772361,763655,1668742580,None,Binance,1560772361,1668742580
79362b408fae96ca88e75c293df3d0a7abcdcddb,bc1q0ymzksy046tv4z88ts5nmu7s574umnwmdev3rt,P2WPKH,"{ ""P2WPKH"" : 6065750671173 }",active,42,6065750671173,910923,1755714589,911024,1755779607,,Kraken,1755714589,1755779607
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,P2SH,"{ ""P2SH"" : 5590467056851 }",active,290,5590467056851,767604,1671155337,944213,1775667564,None,Gemini,1671155337,1775667564
bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,P2WSH,"{ ""P2WSH"" : 4419436890259 }",inactive,54,4419436890259,850077,1719730779,884862,1740234899,3-of-6 multisig,Bybit,1719730779,1740234899
bd9e8be08e63f7fde362abcf06f4dc69b962ad93,1JHceFenZHACSRPD6tE4bfU6yJ83wTG6kH|bc1qhk0ghcywv0mlmcmz408sdaxudxuk9tvng9xx8g,P2PKH|P2WPKH,"{ ""P2PKH"" : 1200, ""P2WPKH"" : 4347775938158 }",active,99,4347775939358,745798,1658356512,932525,1768576760,,Robinhood,1658356512,1768576760
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,P2WSH,"{ ""P2WSH"" : 4227091445203 }",active,105,4227091445203,828493,1706846746,944999,1776151367,2-of-2 multisig,Coincheck,1706846746,1776151367
7423550ff6bc057a1c6b9c6821bbce7fb41e08f1,bc1qws342rlkhszh58rtn35zrw7w076puz83gkcufy,P2WPKH,"{ ""P2WPKH"" : 4107500014781 }",active,1,4107500014781,916023,1758627532,944578,1775897242,,Deribit,1758627532,1775897242
e59da2ee467062feb5206b59a4608ceab5fe9854,bc1qukw69mjxwp30adfqddv6gcyva26laxz562rhlk,P2WPKH,"{ ""P2WPKH"" : 3404874483470 }",active,19,3404874483470,910924,1755715762,932012,1768242402,,Kraken,1755715762,1768242402
3156afc4249915008020f932783319f3e610b97d,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,P2WPKH,"{ ""P2WPKH"" : 3164340200226 }",inactive,4803,3164340200226,630028,1589245063,639966,1595213609,,Binance Pool,1589245063,1595213609
2478e55ad5a72456409450e49b91bb52e6dd5c79,bc1qy3uw2kk45uj9vsy52rjfhydm2tnd6hreu8vha3,P2WPKH,"{ ""P2WPKH"" : 3148418211905 }",active,25,3148418211905,910787,1755631257,933108,1768925586,,Kraken,1755631257,1768925586
